song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
"Vibin' Out - FKJ, ((( O )))",0.24239066,0.5758939,0.009152697,0.30231792,0.06577235,0.20402998,0.9858375,0.89568096,0.8650476,0.43769228,0.562308,0.16910554,0.83089423,154.0
Warrior - Aurora,0.39197212,0.2839651,0.26173154,0.33173636,0.2229317,0.32819682,0.68210876,0.43277374,0.95206916,0.5010795,0.49892047,0.32500473,0.67499506,97.0
Welcome to the Fire - Willyecho,0.17277886,0.40428928,0.24785957,0.16412558,0.24382672,0.2712232,0.67526424,0.57994753,0.86457247,0.32549083,0.6745093,0.30604511,0.69395494,151.0
"Yaar Intha - Haricharan, Yuvan Shankar Raja",0.5018762,0.45969084,0.025964286,0.21623598,0.28483123,0.39341474,0.8760677,0.66663104,0.77203476,0.37264517,0.62735444,0.23578389,0.7642161,112.0
"Yaarindha Devadhai, Pt 1 - Hariharan",0.44346726,0.33951342,0.045686156,0.21355037,0.28473705,0.49057147,0.80165684,0.6175353,0.85438555,0.32008013,0.6799199,0.16795777,0.83204234,68.0
"Zaroorat - Mithoon, Mustafa Zahid",0.3429165,0.37943986,0.021794837,0.2182479,0.1576847,0.36070508,0.88710564,0.8049215,0.779054,0.3842844,0.6157159,0.30410165,0.6958986,96.0
cotton candy - Iris,0.638143,0.19115494,0.18452132,0.5669825,0.15282041,0.6243465,0.6957594,0.43677017,0.917991,0.39726207,0.60273784,0.23796794,0.7620323,81.0
creature - Iris,0.059738692,0.60130656,0.07317392,0.07907684,0.0506851,0.09794496,0.96385753,0.87752515,0.7821377,0.37103695,0.62896293,0.23178244,0.7682179,154.0
from inside a car - Iris,0.31492266,0.33745712,0.052592564,0.23906507,0.08933506,0.342417,0.9404934,0.7677666,0.8253942,0.4104227,0.58957756,0.17269666,0.82730323,67.0
giving in - Iris,0.41087154,0.28182888,0.059182324,0.3577652,0.105928645,0.35892802,0.92376304,0.73316956,0.8848319,0.4929015,0.5070986,0.21525872,0.7847408,112.0
hanging around youcrackers - Iris,0.4287858,0.17272319,0.1195647,0.32542142,0.10036767,0.4765884,0.85063833,0.633573,0.90582675,0.40861475,0.5913853,0.15838398,0.84161603,138.0
hidden springs - Iris,0.16213454,0.48746735,0.0840366,0.14083222,0.099461265,0.21451381,0.9002108,0.7825538,0.8656716,0.3008169,0.6991829,0.12641796,0.8735819,140.0
repose - Iris,0.67387956,0.20142858,0.123110294,0.5814654,0.1196024,0.4635831,0.8449646,0.5328181,0.9436607,0.5374579,0.462542,0.204647,0.7953531,60.0
"your mind, the universe - Iris",0.24090734,0.31586078,0.068203844,0.21979499,0.08997025,0.3220048,0.9053019,0.7793424,0.8314569,0.41788363,0.5821164,0.14202057,0.8579792,134.0
İzmir Marşı - Coldrex,0.7517642,0.06195512,0.15054849,0.67269266,0.23772746,0.7526036,0.6289541,0.3957495,0.80324733,0.5021897,0.49781024,0.5431039,0.4568962,78.0
