song name,artist,album,track no,album artist,year
"Destiny Is All - John Lunn, Eivør","John Lunn, Eivør",The Last Kingdom (Original Television Soundtrack),5,"John Lunn, Eivør",2018
"Diamond Heart - Sophia Somajo, Alan Walker","Sophia Somajo, Alan Walker",Different World,13,Alan Walker,2018
"Dil Se Re - AR Rahman, Anuradha, Anupama","AR Rahman, Anuradha, Anupama",Dil Se (Original Motion Picture Soundtrack),3,A.R. Rahman,1998
"Dilliwaali Girlfriend - Pritam, Arijit Singh, Sunidhi Chauhan","Pritam, Arijit Singh, Sunidhi Chauhan",Best Of Sunidhi Chauhan,3,Sunidhi Chauhan,2017
"Dippam Dappam - Anirudh Ravichander, Anthony Daasan","Anirudh Ravichander, Anthony Daasan","Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",1,"Anirudh Ravichander, Anthony Daasan",2022
Don't Let Me Go - Cigarettes After Sex,Cigarettes After Sex,Cry,1,Cigarettes After Sex,2019
Dura - Daddy Yankee,Daddy Yankee,Dura,1,Daddy Yankee,2018
Elangathu solo - Sriram Parthasarathy,Sriram Parthasarathy,Shreya Ghoshal - Sing for You,2,Shreya Ghoshal,2013
"En Sarwame - Nobin Paul, Ananya","Nobin Paul, Ananya","En Sarwame (From ""777 Charlie - Malayalam"")",1,"Nobin Paul, Ananya",2022
Ennavale Adi Ennavale - P Unnikrishnan,P Unnikrishnan,P. Unnikrishnan Birthday Special Hit Songs 2019,1,Unnikrishnan,2019
Etho Sayana - Sachin Warrier,Sachin Warrier,10.30 AM Local Call (Original Motion Picture Soundtrack),1,Gopi Sundar,2012
Faded - Alan Walker,Alan Walker,Faded,1,Alan Walker,2015
Fuego Lento - Drake Bell,Drake Bell,Fuego Lento,1,Drake Bell,2018
"Gaandakannazhagi - Anirudh Ravichander, Neeti Mohan","Anirudh Ravichander, Neeti Mohan","Gundellonaa (From ""Ori Devuda"") - Single",1,"Anirudh Ravichander, Leon James, Kasarla Shyam",2022
Galvanize (Edit) - The Chemical Brothers,The Chemical Brothers,Push The Button,1,The Chemical Brothers,2005
Gasolina - Daddy Yankee,Daddy Yankee,Barrio Fino (Bonus Track Version),5,Daddy Yankee,2004
"Gerua - Pritam, Arijit Singh, Antara Mitra","Pritam, Arijit Singh, Antara Mitra",Dilwale (Original Motion Picture Soundtrack),1,Pritam,2015
Goodbye - Apparat,Apparat,The Devil's Walk,4,Apparat,2011
Goodbye Brother - Ramin Djawadi,Ramin Djawadi,Game Of Thrones (Music From The HBO Series),3,Ramin Djawadi,2011
Guzarish - Javed Ali,Javed Ali,Teri Jhalak Asharfi Javed Ali Hits,1,Javed Ali,2022
Half The World Away - Aurora,Aurora,All My Demons Greeting Me as a Friend (Deluxe),13,AURORA,2014
Hamari Adhuri Kahani - Arijit Singh,Arijit Singh,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),1,"Jeet Gannguli, Mithoon, Ami Mishra",2015
Harleys In Hawaii - Katy Perry,Katy Perry,Smile,10,Katy Perry,2020
Heavenly - Cigarettes After Sex,Cigarettes After Sex,Cry,3,Cigarettes After Sex,2019
"Helig - John Lunn, Eivør","John Lunn, Eivør",Midnight Control Sessions: Night 2,2,Dirty Heads,2023
"Hosanna - Vijay Prakash, Suzanne D'Mello, AR Rahman, Blaaze","Vijay Prakash, Suzanne D'Mello, AR Rahman, Blaaze",Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),4,A.R. Rahman,2010
"Hum Mar Jayenge - Tulsi Kumar, Arijit Singh","Tulsi Kumar, Arijit Singh",Love Songs By Tulsi Kumar - Valentine's Special,7,Tulsi Kumar,2019
